Mg195Yb4Zn;unknown;16-12-2;unknown;0
Al9MgZn;unknown;12-2-13;unknown;0
Mg389Y8Zn3;unknown;12-2-3;unknown;0
Al2LaZn2;unknown;3-12-13;unknown;0
Mg10Mn5Zn;unknown;12-7-2;unknown;0
Al2Mg2Zn;unknown;12-2-13;unknown;0
MgMnZn;half_heusler;12-7-2;2.2429020280315;48.2076666666667
Mg12YZn;unknown;12-2-3;unknown;0
Mg97Y2Zn;sums-up-to-100;12-2-3;unknown;0
Ag10Al294Ge147Mn49;off-stoichiometric;7-14-11-13;unknown;0
MoRuW;half_heusler;6-6-8;760.197634038754;126.953333333333
BBiLa;half_heusler;3-13-15;74.1542241427377;119.566666666667
B4TiZr;unknown;4-4-13;unknown;0
AlB4Tm;unknown;15-13-13;unknown;0
Al2La5Ru3;unknown;3-8-13;unknown;0
Al2MnZn;full_heusler;12-7-13;2.11609609712994;43.5705
As2GeMg;full_heusler;15-14-2;497.386263823097;61.69475
AlZnZr;half_heusler;12-4-13;11.753678385062;61.1953333333333
MgYZn;half_heusler;12-2-3;17.2547187708227;59.5303333333333
GaMgY;half_heusler;13-2-3;113.410808706965;60.978
Al63As100Ga37;unknown;15-13-13;unknown;0
AgMgYb;half_heusler;16-2-11;984.291196330576;101.741666666667
As200Li227V61;unknown;15-5-1;unknown;0
AgLaMg;half_heusler;3-2-11;172.522680340115;90.3616666666667
AsVZr;half_heusler;15-4-5;14.3664524985259;72.3626666666667
AsTiZr;half_heusler;4-15-4;10.4026772672688;71.3376666666667
BiDyRh;half_heusler;12-9-15;15439.9600957018;158.13
GaRhZr;half_heusler;4-9-13;27628.8226117935;87.9523333333333
AgGdMg;half_heusler;10-2-11;185.975167660016;96.475
Al7Au3Yb;unknown;16-11-13;unknown;0
Al12Gd3Ru4;unknown;10-8-13;unknown;0
Al4AuGdGe2;off-stoichiometric;10-11-14-13;unknown;0
Al4AuErGe2;off-stoichiometric;11-14-14-13;unknown;0
Al4AuGe2;unknown;11-14-13;unknown;0
Al4AuDyGe2;off-stoichiometric;12-11-14-13;unknown;0
As2MoTi2;unknown;4-6-15;unknown;0
As3MoTi3;unknown;4-6-15;unknown;0
B48Lu3Yb;unknown;16-13-3;unknown;0
Bi5La3Mg;unknown;3-2-15;unknown;0
Bi2LaLi;full_heusler;3-15-1;9.94625139674713;140.9525
BMg8Rh4;unknown;13-9-2;unknown;0
Al31Yb24Zn221;unknown;16-12-13;unknown;0
Al17Yb32Zn234;unknown;16-12-13;unknown;0
Al11Yb31Zn242;unknown;16-12-13;unknown;0
Al43Yb30Zn177;unknown;16-12-13;unknown;0
Al53Mn20Yb10Zn147;off-stoichiometric;16-12-7-13;unknown;0
B6La3Ru8;unknown;3-13-8;unknown;0
B100La47Ru150;unknown;3-13-8;unknown;0
